name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"perf_raw::r1084301A0","perf_raw::r4302D6","perf_raw::r43A2D6"
"BM_LinearSearch/8",114042256,5.99389,5.99324,ns,,,,,,14.8594,12.4783,12.1759
"BM_LinearSearch/40",71711689,9.69654,9.69513,ns,,,,,,17.8673,15.2328,13.7106
"BM_LinearSearch/72",51065036,12.4952,12.4926,ns,,,,,,16.9746,14.5898,14.243
"BM_LinearSearch/104",45513213,16.0227,16.0197,ns,,,,,,18.6201,15.3196,14.7491
"BM_LinearSearch/136",36702414,18.82,18.8172,ns,,,,,,20.9934,16.3654,15.5762
"BM_LinearSearch/168",33572390,21.7269,21.7218,ns,,,,,,17.6566,15.5417,14.636
"BM_LinearSearch/200",25517707,29.0991,29.0916,ns,,,,,,34.9027,22.4755,19.2636
"BM_LinearSearch/232",24320268,30.5779,30.5729,ns,,,,,,37.4196,24.1541,20.1924
"BM_LinearSearch/256",19729547,33.0266,33.0242,ns,,,,,,37.2437,24.7584,21.2638
"BM_LinearSearch/384",15891538,46.1488,46.1269,ns,,,,,,48.0811,29.7941,24.8248
"BM_LinearSearch/512",11778894,62.7327,62.729,ns,,,,,,59.4757,35.5476,28.9007
"BM_LinearSearch/640",10020326,72.3451,72.2414,ns,,,,,,58.8504,32.7912,26.8108
"BM_LinearSearch/768",9189230,72.8876,72.8809,ns,,,,,,14.7504,14.423,14.1243
"BM_LinearSearch/896",7321045,96.072,95.9751,ns,,,,,,76.0975,41.7268,32.1967
"BM_LinearSearch/1024",6476934,108.524,108.465,ns,,,,,,72.4657,42.6978,33.1376
"BM_LinearSearch/1152",6282692,111.852,111.846,ns,,,,,,21.6889,17.8838,14.8553
"BM_LinearSearch/1280",5421325,129.707,129.698,ns,,,,,,77.3886,41.3041,30.7255
"BM_LinearSearch/1408",4952509,140.557,140.508,ns,,,,,,81.9995,41.7276,30.7807
"BM_LinearSearch/1536",4716480,148.72,148.709,ns,,,,,,55.9103,32.9222,25.5044
"BM_LinearSearch/1664",4152714,165.346,165.326,ns,,,,,,77.9375,41.786,30.9558
"BM_LinearSearch/1792",3944257,175.689,175.668,ns,,,,,,83.492,46.8637,34.4641
"BM_LinearSearch/1920",3784048,177.326,177.311,ns,,,,,,21.1722,17.5048,14.2125
"BM_LinearSearch/2048",3588770,194.838,194.819,ns,,,,,,77.4998,41.5131,31.243
"BM_LinearSearch/2048",3451624,203.226,203.205,ns,,,,,,77.1686,40.1508,30.7698
"BM_LinearSearch/4096",1814561,382.964,382.93,ns,,,,,,85.7087,50.4405,37.0707
"BM_LinearSearch/8192",931125,751.342,751.281,ns,,,,,,83.1308,51.484,41.8773
"BM_LinearSearch/16384",472843,1470.68,1470.31,ns,,,,,,43.5756,44.177,40.4917
"BM_LinearSearch/32768",239638,2925.68,2924.19,ns,,,,,,22.8569,40.1339,39.4258
"BM_LinearSearch/65536",120734,5828.47,5827.76,ns,,,,,,54.1251,63.8434,58.2885
"BM_LinearSearch/131072",59657,11648.9,11647.6,ns,,,,,,40.17,70.9227,69.9237
"BM_LinearSearch/262144",29684,23492.6,23490.2,ns,,,,,,240.685,322.978,307.637
"BM_LinearSearch_BigO",,0.0894476,0.0894378,N,,,,,,,,
"BM_LinearSearch_RMS",,1.30318e-11,1.30486e-11,,,,,,,,,
"BM_StdLowerBound/8",108504800,6.14642,6.14604,ns,,,,,,10.8028,8.54147,3.99386
"BM_StdLowerBound/40",58840329,12.9966,12.9956,ns,,,,,,26.2707,19.6869,9.12042
"BM_StdLowerBound/72",48053623,14.2202,14.2194,ns,,,,,,28.9779,21.4381,9.76214
"BM_StdLowerBound/104",42454569,16.6496,16.6482,ns,,,,,,34.6397,25.5414,11.5528
"BM_StdLowerBound/136",38770544,17.7821,17.7806,ns,,,,,,37.5988,27.0504,12.1461
"BM_StdLowerBound/168",37354770,18.221,18.2198,ns,,,,,,38.4004,28.2546,12.8841
"BM_StdLowerBound/200",38400830,18.8233,18.8217,ns,,,,,,39.9505,28.8581,13.0134
"BM_StdLowerBound/232",35224232,19.8805,19.879,ns,,,,,,42.2143,30.6755,13.8578
"BM_StdLowerBound/256",34651389,20.3896,20.3881,ns,,,,,,44.0307,31.9809,14.3345
"BM_StdLowerBound/384",31357733,22.3556,22.3537,ns,,,,,,49.2184,34.6705,15.6046
"BM_StdLowerBound/512",28602912,24.4916,24.4895,ns,,,,,,55.0352,39.1684,17.7104
"BM_StdLowerBound/640",27915590,25.1555,25.1535,ns,,,,,,56.692,40.1053,18.216
"BM_StdLowerBound/768",26534958,26.0298,26.0277,ns,,,,,,58.8662,41.3745,18.6683
"BM_StdLowerBound/896",25341366,27.2236,27.2209,ns,,,,,,62.4653,43.9822,20.06
"BM_StdLowerBound/1024",24432747,28.6273,28.625,ns,,,,,,66.8064,46.8161,21.3988
"BM_StdLowerBound/1152",24165606,28.9827,28.9803,ns,,,,,,67.4211,47.1057,21.6306
"BM_StdLowerBound/1280",23618213,29.1426,29.1406,ns,,,,,,64.8353,43.037,18.9282
"BM_StdLowerBound/1408",23452221,30.0518,30.0487,ns,,,,,,69.2111,47.3111,21.4163
"BM_StdLowerBound/1536",22865940,30.6936,30.6911,ns,,,,,,71.6998,50.2361,22.839
"BM_StdLowerBound/1664",22306891,30.4709,30.4688,ns,,,,,,69.9174,46.6793,20.666
"BM_StdLowerBound/1792",21859008,31.6655,31.6624,ns,,,,,,74.6799,51.7421,23.6746
"BM_StdLowerBound/1920",21715502,32.4445,32.442,ns,,,,,,77.0605,52.0246,23.6215
"BM_StdLowerBound/2048",21733066,31.9282,31.9253,ns,,,,,,73.9418,47.7471,21.1158
"BM_StdLowerBound/2048",21879094,32.0468,32.0443,ns,,,,,,73.863,48.4932,21.5379
"BM_StdLowerBound/4096",19114566,36.8844,36.8807,ns,,,,,,86.6381,58.4314,26.7227
"BM_StdLowerBound/8192",16645910,42.0281,42.0251,ns,,,,,,102.248,84.6399,48.4007
"BM_StdLowerBound/16384",14175870,49.4556,49.4518,ns,,,,,,116.728,118.138,79.0851
"BM_StdLowerBound/32768",12506726,55.8422,55.839,ns,,,,,,127.043,143.978,102.426
"BM_StdLowerBound/65536",11216982,62.3336,62.3277,ns,,,,,,137.288,170.787,126.957
"BM_StdLowerBound/131072",9862274,71.2425,71.2376,ns,,,,,,152.208,206.809,162.752
"BM_StdLowerBound/262144",8058928,86.8577,86.8489,ns,,,,,,180.927,282.186,239.027
"BM_StdLowerBound_BigO",,3.28465,3.28438,lgN,,,,,,,,
"BM_StdLowerBound_RMS",,2.38184e-10,2.3818e-10,,,,,,,,,
"BM_BinarySearchRandomTarget/8",85538997,9.54013,9.53942,ns,,,,,,22.249,15.2839,8.8006
"BM_BinarySearchRandomTarget/40",43211559,15.5346,15.5331,ns,,,,,,37.7511,21.9328,10.3398
"BM_BinarySearchRandomTarget/72",38594886,17.6877,17.6862,ns,,,,,,44.8962,25.1305,11.8653
"BM_BinarySearchRandomTarget/104",36271007,20.1506,20.1487,ns,,,,,,52.187,30.6164,14.0756
"BM_BinarySearchRandomTarget/136",33570606,20.7639,20.7623,ns,,,,,,53.6504,29.6833,12.5961
"BM_BinarySearchRandomTarget/168",32177633,21.5177,21.5158,ns,,,,,,55.9336,30.5433,12.5474
"BM_BinarySearchRandomTarget/200",30778418,22.6959,22.6942,ns,,,,,,59.0551,31.7401,12.656
"BM_BinarySearchRandomTarget/232",30307009,23.811,23.8086,ns,,,,,,63.1415,33.9196,13.5327
"BM_BinarySearchRandomTarget/256",29915266,24.1334,24.1316,ns,,,,,,63.9006,34.0922,13.4922
"BM_BinarySearchRandomTarget/384",27035594,25.4768,25.4742,ns,,,,,,66.2642,36.9476,14.5485
"BM_BinarySearchRandomTarget/512",25605514,27.174,27.1717,ns,,,,,,71.1678,38.1129,14.3545
"BM_BinarySearchRandomTarget/640",24614277,28.4448,28.4422,ns,,,,,,73.6132,40.8968,15.6055
"BM_BinarySearchRandomTarget/768",23943932,29.3474,29.3451,ns,,,,,,76.1587,43.0142,16.6624
"BM_BinarySearchRandomTarget/896",22946219,30.4443,30.4421,ns,,,,,,79.2796,44.3647,17.1091
"BM_BinarySearchRandomTarget/1024",22204715,31.2124,31.2101,ns,,,,,,81.364,44.2642,16.7072
"BM_BinarySearchRandomTarget/1152",22405372,30.9517,30.9485,ns,,,,,,81.6717,39.3987,13.2694
"BM_BinarySearchRandomTarget/1280",21614172,31.742,31.7368,ns,,,,,,78.5523,41.0443,14.4349
"BM_BinarySearchRandomTarget/1408",21880590,32.0565,32.0543,ns,,,,,,81.2516,38.7674,12.447
"BM_BinarySearchRandomTarget/1536",21714451,32.3473,32.3448,ns,,,,,,81.7145,38.4647,12.5869
"BM_BinarySearchRandomTarget/1664",21108422,33.0467,33.0441,ns,,,,,,85.3389,39.5061,13.1848
"BM_BinarySearchRandomTarget/1792",20856549,33.2546,33.2518,ns,,,,,,81.8512,38.5955,11.9283
"BM_BinarySearchRandomTarget/1920",20375756,34.0959,34.0934,ns,,,,,,87.036,40.8163,13.9147
"BM_BinarySearchRandomTarget/2048",20151335,34.6217,34.6186,ns,,,,,,87.4664,41.397,14.1317
"BM_BinarySearchRandomTarget/2048",20187771,34.6168,34.614,ns,,,,,,88.1794,41.4543,14.2296
"BM_BinarySearchRandomTarget/4096",17934648,38.9186,38.9157,ns,,,,,,97.9979,47.237,16.6114
"BM_BinarySearchRandomTarget/8192",15556226,45.1209,45.1178,ns,,,,,,111.251,68.2269,34.1684
"BM_BinarySearchRandomTarget/16384",13126812,53.1941,53.1908,ns,,,,,,126.653,98.2079,60.975
"BM_BinarySearchRandomTarget/32768",11558794,60.4258,60.4203,ns,,,,,,139.085,122.809,82.6816
"BM_BinarySearchRandomTarget/65536",10342465,67.5761,67.5711,ns,,,,,,148.175,148.034,105.25
"BM_BinarySearchRandomTarget/131072",9170151,76.289,76.2826,ns,,,,,,159.337,185.733,140.994
"BM_BinarySearchRandomTarget/262144",7601841,92.0867,92.0786,ns,,,,,,191.684,266.912,220.922
"BM_BinarySearchRandomTarget_BigO",,3.57374,3.57345,lgN,,,,,,,,
"BM_BinarySearchRandomTarget_RMS",,2.14419e-10,2.1442e-10,,,,,,,,,
"BM_BinarySearchPredictableTarget/8",381578435,1.82929,1.82915,ns,,,,,,1.489,0.0433076,0.0422332
"BM_BinarySearchPredictableTarget/40",303711349,2.32018,2.31999,ns,,,,,,1.96468,0.0179417,0.0162286
"BM_BinarySearchPredictableTarget/72",276846728,2.51028,2.51009,ns,,,,,,2.00849,0.0161846,0.0147412
"BM_BinarySearchPredictableTarget/104",279137217,2.51155,2.51138,ns,,,,,,2.00566,0.0169747,0.0155543
"BM_BinarySearchPredictableTarget/136",251923857,2.76313,2.76297,ns,,,,,,2.39778,0.0168945,0.0153008
"BM_BinarySearchPredictableTarget/168",252867396,2.69494,2.69479,ns,,,,,,2.03539,0.0214508,0.019742
"BM_BinarySearchPredictableTarget/200",253489122,2.76752,2.76738,ns,,,,,,2.52165,0.0150182,0.0139304
"BM_BinarySearchPredictableTarget/232",252176242,2.78006,2.7799,ns,,,,,,2.475,0.0163684,0.0148007
"BM_BinarySearchPredictableTarget/256",235596922,2.96282,2.96265,ns,,,,,,1.98896,0.0151335,0.0128137
"BM_BinarySearchPredictableTarget/384",238746682,2.95937,2.95912,ns,,,,,,1.99002,0.0169948,0.0144143
"BM_BinarySearchPredictableTarget/512",222759150,3.16511,3.16483,ns,,,,,,0.689914,0.0337125,0.0314006
"BM_BinarySearchPredictableTarget/640",220994839,3.18838,3.18814,ns,,,,,,0.692816,0.0185202,0.0167305
"BM_BinarySearchPredictableTarget/768",219457838,3.14013,3.13981,ns,,,,,,0.315227,0.0243518,0.0222179
"BM_BinarySearchPredictableTarget/896",218618940,3.13871,3.13848,ns,,,,,,0.332351,0.0163827,0.0140473
"BM_BinarySearchPredictableTarget/1024",202434846,3.45526,3.45492,ns,,,,,,0.0290261,0.0162739,0.0140292
"BM_BinarySearchPredictableTarget/1152",203316163,3.43538,3.4351,ns,,,,,,0.0322507,0.0163057,0.0138626
"BM_BinarySearchPredictableTarget/1280",203074243,3.44201,3.44167,ns,,,,,,0.0305211,0.0164001,0.0138939
"BM_BinarySearchPredictableTarget/1408",203974573,3.43712,3.43688,ns,,,,,,0.0281857,0.0161295,0.0143051
"BM_BinarySearchPredictableTarget/1536",203943084,3.44377,3.44351,ns,,,,,,0.0276113,0.0166232,0.0147849
"BM_BinarySearchPredictableTarget/1664",203137177,3.43983,3.43961,ns,,,,,,0.0225156,0.0172972,0.0154439
"BM_BinarySearchPredictableTarget/1792",203706995,3.43827,3.43806,ns,,,,,,0.0238444,0.0155087,0.013551
"BM_BinarySearchPredictableTarget/1920",203375912,3.43611,3.43588,ns,,,,,,0.0285781,0.0190678,0.0166916
"BM_BinarySearchPredictableTarget/2048",182479015,3.84887,3.84864,ns,,,,,,0.0210298,0.0168721,0.0157823
"BM_BinarySearchPredictableTarget/2048",181508507,3.84008,3.83953,ns,,,,,,0.0169517,0.0904046,0.0893932
"BM_BinarySearchPredictableTarget/4096",167679666,4.19034,4.19004,ns,,,,,,0.0205013,0.0157822,0.0142102
"BM_BinarySearchPredictableTarget/8192",156163573,4.49141,4.49105,ns,,,,,,0.016281,0.0138778,0.0122264
"BM_BinarySearchPredictableTarget/16384",144308817,4.85488,4.8544,ns,,,,,,0.0145862,0.0119026,0.0116909
"BM_BinarySearchPredictableTarget/32768",133921647,5.22287,5.22248,ns,,,,,,0.0159842,0.0127701,0.0116975
"BM_BinarySearchPredictableTarget/65536",124580338,5.61456,5.6142,ns,,,,,,0.0152175,0.012615,0.0123382
"BM_BinarySearchPredictableTarget/131072",122616237,5.70544,5.70496,ns,,,,,,0.0201968,0.0148119,0.0127166
"BM_BinarySearchPredictableTarget/262144",111486747,6.27705,6.27666,ns,,,,,,0.0082735,0.0102596,0.00998223
"BM_BinarySearchPredictableTarget_BigO",,0.344703,0.344676,lgN,,,,,,,,
"BM_BinarySearchPredictableTarget_RMS",,6.62676e-11,6.62689e-11,,,,,,,,,
